Cell,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter
21,0.687902649,0.498915487,0.706830508,0.798089899,0.7203933,0.586903615,0.593143179,0.885949016,0.838479931,0.883883477,0.711928319,0.726223408,0.701093323
22,0.471725125,0.611939639,0.895266001,0.69951349,0.693796306,0.595443284,0.585731434,0.641342931,0.645353437,0.637377439,0.523262903,0.508549156,0.591596621
23,0.393700787,0.552046377,0.793896326,0.857699805,0.682295804,0.486983623,0.492453753,0.614295117,0.61093634,0.637377439,0.541691649,0.529926004,0.544996815
24,0.702219041,0.732298425,0.952270042,0.689186815,0.551820423,0.82703801,0.802323658,0.68680282,0.708687401,0.707106781,0.544296118,0.554646699,0.809346678
25,0.430923407,0.582596783,0.87500058,0.731174089,0.720779441,0.54818663,0.526914687,0.605010525,0.624649663,0.637377439,0.47533339,0.497824603,0.554748351
26,0.602720115,0.482785781,0.493650301,0.820662768,0.804460928,0.503003624,0.508487169,0.824163383,0.807320369,0.790569415,0.72851483,0.747888557,0.621015639
27,0.282032928,0.704604311,0.955695728,0.791230859,0.638155292,0.516083794,0.482393285,0.412081692,0.482079775,0.5,0.333580101,0.33936362,0.476962124
28,0.347888332,0.459439587,0.42676473,0.983805668,0.974855348,0.367286258,0.343318121,0.716385055,0.699811715,0.707106781,0.531878949,0.565929509,0.428594916
29,0.411596278,0.616842618,0.923266941,0.955678669,0.714251614,0.569335136,0.541106279,0.552865605,0.62202854,0.637377439,0.41625309,0.438872739,0.544637169
30,0.642090193,0.559143465,0.68112266,0.767650834,0.616968566,0.593866585,0.569367845,0.73715414,0.710935842,0.728868987,0.731848332,0.757235595,0.731920097
31,0.353614889,0.636785823,0.929065139,0.821052631,0.581411431,0.538492729,0.528266619,0.50656073,0.561211088,0.559016994,0.389757432,0.405013476,0.559526501
32,0.478167502,0.553725457,0.858894565,0.737578211,0.70451914,0.557346951,0.576680698,0.661616088,0.678072728,0.707106781,0.52743645,0.528410201,0.591072566
